 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-01 18:15 *   -11.20   4.63  75.422 0.00251695950955  -0.1477936
 2014-Dec-01 18:30 *   -11.20   4.63  75.546 0.00251602336630  -0.1632790
 2014-Dec-01 18:45 *   -11.21   4.63  75.669 0.00251499612455  -0.1780658
 2014-Dec-01 19:00 *   -11.22   4.62  75.791 0.00251388216548  -0.1920953
 2014-Dec-01 19:15 *   -11.22   4.62  75.912 0.00251268621501  -0.2053116
 2014-Dec-01 19:30 *   -11.23   4.62  76.031 0.00251141332681  -0.2176617
 2014-Dec-01 19:45 *   -11.23   4.61  76.149 0.00251006886388  -0.2290959
 2014-Dec-01 20:00 *   -11.24   4.61  76.265 0.00250865847909  -0.2395675
 2014-Dec-01 20:15 *   -11.24   4.61  76.379 0.00250718809434  -0.2490337
 2014-Dec-01 20:30 *   -11.25   4.60  76.492 0.00250566387873  -0.2574553
 2014-Dec-01 20:45 *   -11.26   4.60  76.603 0.00250409222551  -0.2647970
 2014-Dec-01 21:00 *   -11.26   4.60  76.712 0.00250247972813  -0.2710276
 2014-Dec-01 21:15 *   -11.27   4.60  76.819 0.00250083315521  -0.2761201
 2014-Dec-01 21:30 *   -11.27   4.59  76.925 0.00249915942481  -0.2800517
 2014-Dec-01 21:45 *   -11.28   4.59  77.028 0.00249746557780  -0.2828045
 2014-Dec-01 22:00 *r  -11.28   4.59  77.130 0.00249575875046  -0.2843647
 2014-Dec-01 22:15 *m  -11.29   4.59  77.229 0.00249404614669  -0.2847236
 2014-Dec-01 22:30 *m  -11.29   4.58  77.327 0.00249233500952  -0.2838770
 2014-Dec-01 22:45 *m  -11.30   4.58  77.423 0.00249063259228  -0.2818256
 2014-Dec-01 23:00 *m  -11.30   4.58  77.517 0.00248894612952  -0.2785750
 2014-Dec-01 23:15 *m  -11.31   4.58  77.609 0.00248728280771  -0.2741355
 2014-Dec-01 23:30 *m  -11.31   4.57  77.699 0.00248564973590  -0.2685225
 2014-Dec-01 23:45 *m  -11.32   4.57  77.788 0.00248405391648  -0.2617562
 2014-Dec-02 00:00 *m  -11.32   4.57  77.874 0.00248250221610  -0.2538615
 2014-Dec-02 00:15 *m  -11.33   4.57  77.959 0.00248100133692  -0.2448680
 2014-Dec-02 00:30 Cm  -11.33   4.57  78.042 0.00247955778845  -0.2348102
 2014-Dec-02 00:45 Cm  -11.34   4.56  78.124 0.00247817785979  -0.2237270
 2014-Dec-02 01:00 Nm  -11.34   4.56  78.204 0.00247686759278  -0.2116615
 2014-Dec-02 01:15 Nm  -11.35   4.56  78.282 0.00247563275600  -0.1986614
 2014-Dec-02 01:30 Nm  -11.35   4.56  78.359 0.00247447881969  -0.1847782
 2014-Dec-02 01:45 Am  -11.35   4.55  78.435 0.00247341093192  -0.1700674
 2014-Dec-02 02:00 Am  -11.36   4.55  78.509 0.00247243389604  -0.1545881
 2014-Dec-02 02:15  m  -11.36   4.55  78.582 0.00247155214938  -0.1384028
 2014-Dec-02 02:30  m  -11.37   4.55  78.654 0.00247076974370  -0.1215772
