"Date","time","sm","APmag","S-brt","Illu%","delta","deldot"
2014-Dec-01,19:15,*,-11.22,4.62,75.912,0.0025126862,-0.2053116
2014-Dec-01,19:30,*,-11.23,4.62,76.031,0.0025114133,-0.2176617
2014-Dec-01,19:45,*,-11.23,4.61,76.149,0.0025100689,-0.2290959
2014-Dec-01,20:00,*,-11.24,4.61,76.265,0.0025086585,-0.2395675
2014-Dec-01,20:15,*,-11.24,4.61,76.379,0.0025071881,-0.2490337
2014-Dec-01,20:30,*,-11.25,4.6,76.492,0.0025056639,-0.2574553
2014-Dec-01,20:45,*,-11.26,4.6,76.603,0.0025040922,-0.264797
2014-Dec-01,21:00,*,-11.26,4.6,76.712,0.0025024797,-0.2710276
2014-Dec-01,21:15,*,-11.27,4.6,76.819,0.0025008332,-0.2761201
2014-Dec-01,21:30,*,-11.27,4.59,76.925,0.0024991594,-0.2800517
2014-Dec-01,21:45,*,-11.28,4.59,77.028,0.0024974656,-0.2828045
2014-Dec-01,22:00,*r,-11.28,4.59,77.13,0.0024957588,-0.2843647
2014-Dec-01,22:15,*m,-11.29,4.59,77.229,0.0024940461,-0.2847236
2014-Dec-01,22:30,*m,-11.29,4.58,77.327,0.002492335,-0.283877
2014-Dec-01,22:45,*m,-11.3,4.58,77.423,0.0024906326,-0.2818256
2014-Dec-01,23:00,*m,-11.3,4.58,77.517,0.0024889461,-0.278575
2014-Dec-01,23:15,*m,-11.31,4.58,77.609,0.0024872828,-0.2741355
2014-Dec-01,23:30,*m,-11.31,4.57,77.699,0.0024856497,-0.2685225
2014-Dec-01,23:45,*m,-11.32,4.57,77.788,0.0024840539,-0.2617562
2014-Dec-02,00:00,*m,-11.32,4.57,77.874,0.0024825022,-0.2538615
2014-Dec-02,00:15,*m,-11.33,4.57,77.959,0.0024810013,-0.244868
2014-Dec-02,00:30,Cm,-11.33,4.57,78.042,0.0024795578,-0.2348102
2014-Dec-02,00:45,Cm,-11.34,4.56,78.124,0.0024781779,-0.223727
2014-Dec-02,01:00,Nm,-11.34,4.56,78.204,0.0024768676,-0.2116615
2014-Dec-02,01:15,Nm,-11.35,4.56,78.282,0.0024756328,-0.1986614
2014-Dec-02,01:30,Nm,-11.35,4.56,78.359,0.0024744788,-0.1847782
2014-Dec-02,01:45,Am,-11.35,4.55,78.435,0.0024734109,-0.1700674
2014-Dec-02,02:00,Am,-11.36,4.55,78.509,0.0024724339,-0.1545881
2014-Dec-02,02:15,m,-11.36,4.55,78.582,0.0024715521,-0.1384028
2014-Dec-02,02:30,m,-11.37,4.55,78.654,0.0024707697,-0.1215772
2014-Dec-02,02:45,m,-11.37,4.55,78.725,0.0024700903,-0.1041797
2014-Dec-02,03:00,m,-11.37,4.55,78.796,0.0024695171,-0.0862814
2014-Dec-02,03:15,m,-11.38,4.54,78.865,0.0024690529,-0.0679555
2014-Dec-02,03:30,m,-11.38,4.54,78.934,0.0024687001,-0.0492774
2014-Dec-02,03:45,m,-11.38,4.54,79.002,0.0024684605,-0.0303239
2014-Dec-02,04:00,m,-11.38,4.54,79.07,0.0024683356,-0.0111729
2014-Dec-02,04:15,m,-11.39,4.54,79.137,0.0024683263,0.0080966
2014-Dec-02,04:30,t,-11.39,4.53,79.204,0.0024684331,0.027405
2014-Dec-02,04:45,m,-11.39,4.53,79.272,0.002468656,0.0466729
2014-Dec-02,05:00,m,-11.39,4.53,79.339,0.0024689945,0.0658207
2014-Dec-02,05:15,m,-11.4,4.53,79.406,0.0024694476,0.0847696
2014-Dec-02,05:30,m,-11.4,4.53,79.473,0.002470014,0.1034417
2014-Dec-02,05:45,m,-11.4,4.53,79.541,0.0024706917,0.1217603
2014-Dec-02,06:00,m,-11.4,4.52,79.609,0.0024714783,0.1396502
2014-Dec-02,06:15,m,-11.41,4.52,79.678,0.0024723711,0.1570386
2014-Dec-02,06:30,m,-11.41,4.52,79.747,0.0024733668,0.1738544
2014-Dec-02,06:45,m,-11.41,4.52,79.817,0.0024744619,0.1900294
2014-Dec-02,07:00,m,-11.41,4.52,79.888,0.0024756521,0.2054984
2014-Dec-02,07:15,m,-11.41,4.51,79.96,0.0024769331,0.2201992
2014-Dec-02,07:30,m,-11.41,4.51,80.033,0.0024783001,0.2340728
2014-Dec-02,07:45,m,-11.42,4.51,80.107,0.002479748,0.2470643
2014-Dec-02,08:00,m,-11.42,4.51,80.181,0.0024812713,0.2591224
2014-Dec-02,08:15,m,-11.42,4.51,80.258,0.0024828641,0.2701999
2014-Dec-02,08:30,m,-11.42,4.5,80.335,0.0024845206,0.2802539
2014-Dec-02,08:45,m,-11.42,4.5,80.414,0.0024862344,0.2892459
2014-Dec-02,09:00,m,-11.42,4.5,80.494,0.0024879989,0.2971419
2014-Dec-02,09:15,m,-11.43,4.5,80.575,0.0024898077,0.3039127
2014-Dec-02,09:30,m,-11.43,4.5,80.658,0.0024916537,0.3095335
2014-Dec-02,09:45,m,-11.43,4.49,80.743,0.00249353,0.3139847
2014-Dec-02,10:00,m,-11.43,4.49,80.828,0.0024954296,0.3172512
2014-Dec-02,10:15,m,-11.43,4.49,80.916,0.0024973452,0.319323
2014-Dec-02,10:30,m,-11.44,4.49,81.004,0.0024992696,0.3201948
2014-Dec-02,10:45,m,-11.44,4.48,81.095,0.0025011957,0.3198663
2014-Dec-02,11:00,m,-11.44,4.48,81.186,0.0025031163,0.3183417
2014-Dec-02,11:15,s,-11.44,4.48,81.28,0.002505024,0.3156302
2014-Dec-02,11:30,,-11.44,4.48,81.374,0.0025069119,0.3117457
2014-Dec-02,11:45,,-11.45,4.47,81.47,0.002508773,0.3067064
2014-Dec-02,12:00,,-11.45,4.47,81.568,0.0025106003,0.3005351
2014-Dec-02,12:15,,-11.45,4.47,81.666,0.0025123872,0.293259
2014-Dec-02,12:30,,-11.45,4.46,81.766,0.002514127,0.2849094
2014-Dec-02,12:45,,-11.46,4.46,81.867,0.0025158135,0.2755215
2014-Dec-02,13:00,,-11.46,4.46,81.97,0.0025174404,0.2651347
2014-Dec-02,13:15,,-11.46,4.46,82.073,0.002519002,0.2537917
2014-Dec-02,13:30,,-11.47,4.45,82.178,0.0025204925,0.2415391
2014-Dec-02,13:45,,-11.47,4.45,82.283,0.0025219067,0.2284265
2014-Dec-02,14:00,A,-11.47,4.45,82.389,0.0025232396,0.2145068
2014-Dec-02,14:15,A,-11.48,4.44,82.496,0.0025244864,0.1998357
2014-Dec-02,14:30,N,-11.48,4.44,82.604,0.0025256429,0.1844715
2014-Dec-02,14:45,N,-11.48,4.44,82.713,0.002526705,0.1684753
2014-Dec-02,15:00,N,-11.49,4.43,82.822,0.002527669,0.1519101
2014-Dec-02,15:15,C,-11.49,4.43,82.931,0.0025285319,0.1348409
2014-Dec-02,15:30,C,-11.5,4.43,83.041,0.0025292907,0.1173346
2014-Dec-02,15:45,*,-11.5,4.42,83.151,0.0025299431,0.0994597
2014-Dec-02,16:00,*,-11.5,4.42,83.261,0.0025304869,0.0812856
2014-Dec-02,16:15,*,-11.51,4.42,83.372,0.0025309207,0.0628832
2014-Dec-02,16:30,*,-11.51,4.41,83.482,0.0025312433,0.0443237
2014-Dec-02,16:45,*,-11.52,4.41,83.593,0.0025314539,0.0256793
2014-Dec-02,17:00,*,-11.52,4.41,83.703,0.0025315523,0.0070221
2014-Dec-02,17:15,*,-11.53,4.4,83.812,0.0025315385,-0.0115756
2014-Dec-02,17:30,*,-11.53,4.4,83.922,0.0025314133,-0.0300417
2014-Dec-02,17:45,*,-11.54,4.4,84.031,0.0025311774,-0.0483047
2014-Dec-02,18:00,*,-11.54,4.4,84.139,0.0025308325,-0.0662937
2014-Dec-02,18:15,*,-11.55,4.39,84.247,0.0025303804,-0.0839388
2014-Dec-02,18:30,*,-11.55,4.39,84.354,0.0025298233,-0.1011714
2014-Dec-02,18:45,*,-11.56,4.39,84.46,0.002529164,-0.1179241
2014-Dec-02,19:00,*,-11.56,4.38,84.565,0.0025284054,-0.1341317
2014-Dec-02,19:15,*,-11.57,4.38,84.669,0.0025275512,-0.1497304
2014-Dec-02,19:30,*,-11.57,4.38,84.772,0.002526605,-0.1646588
2014-Dec-02,19:45,*,-11.58,4.37,84.874,0.0025255713,-0.1788581
2014-Dec-02,20:00,*,-11.58,4.37,84.975,0.0025244544,-0.1922717
2014-Dec-02,20:15,*,-11.59,4.37,85.075,0.0025232593,-0.2048462
2014-Dec-02,20:30,*,-11.59,4.36,85.173,0.0025219912,-0.2165311
2014-Dec-02,20:45,*,-11.6,4.36,85.27,0.0025206557,-0.2272791
2014-Dec-02,21:00,*,-11.6,4.36,85.365,0.0025192583,-0.2370465
2014-Dec-02,21:15,*,-11.61,4.35,85.459,0.0025178053,-0.2457931
2014-Dec-02,21:30,*,-11.62,4.35,85.551,0.0025163028,-0.2534826
2014-Dec-02,21:45,*,-11.62,4.35,85.642,0.0025147573,-0.2600826
2014-Dec-02,22:00,*,-11.63,4.35,85.731,0.0025131754,-0.265565
2014-Dec-02,22:15,*,-11.63,4.34,85.819,0.002511564,-0.2699056
2014-Dec-02,22:30,*r,-11.64,4.34,85.905,0.00250993,-0.273085
2014-Dec-02,22:45,*m,-11.64,4.34,85.989,0.0025082803,-0.2750881
2014-Dec-02,23:00,*m,-11.65,4.33,86.072,0.0025066222,-0.2759045
2014-Dec-02,23:15,*m,-11.65,4.33,86.153,0.0025049627,-0.2755283
2014-Dec-02,23:30,*m,-11.66,4.33,86.232,0.0025033091,-0.2739586
2014-Dec-02,23:45,*m,-11.66,4.33,86.31,0.0025016685,-0.271199
2014-Dec-03,00:00,*m,-11.67,4.32,86.386,0.0025000481,-0.2672583
2014-Dec-03,00:15,*m,-11.67,4.32,86.46,0.0024984549,-0.2621497
2014-Dec-03,00:30,Cm,-11.68,4.32,86.533,0.0024968959,-0.2558915
2014-Dec-03,00:45,Cm,-11.68,4.32,86.605,0.002495378,-0.2485065
2014-Dec-03,01:00,Nm,-11.69,4.31,86.674,0.0024939078,-0.2400226
2014-Dec-03,01:15,Nm,-11.69,4.31,86.743,0.0024924919,-0.230472
2014-Dec-03,01:30,Nm,-11.69,4.31,86.81,0.0024911366,-0.2198914
2014-Dec-03,01:45,Am,-11.7,4.31,86.875,0.002489848,-0.2083222
2014-Dec-03,02:00,Am,-11.7,4.31,86.939,0.0024886318,-0.1958097
2014-Dec-03,02:15,m,-11.71,4.3,87.002,0.0024874936,-0.1824035
2014-Dec-03,02:30,m,-11.71,4.3,87.064,0.0024864386,-0.168157
2014-Dec-03,02:45,m,-11.71,4.3,87.124,0.0024854717,-0.1531273
2014-Dec-03,03:00,m,-11.72,4.3,87.183,0.0024845974,-0.137375
2014-Dec-03,03:15,m,-11.72,4.3,87.242,0.00248382,-0.1209637
2014-Dec-03,03:30,m,-11.72,4.29,87.299,0.002483143,-0.1039602
2014-Dec-03,03:45,m,-11.73,4.29,87.356,0.00248257,-0.0864337
2014-Dec-03,04:00,m,-11.73,4.29,87.412,0.0024821039,-0.0684558
2014-Dec-03,04:15,m,-11.73,4.29,87.467,0.0024817471,-0.0501002
2014-Dec-03,04:30,m,-11.74,4.29,87.522,0.0024815016,-0.0314422
2014-Dec-03,04:45,m,-11.74,4.28,87.576,0.0024813692,-0.0125584
2014-Dec-03,05:00,m,-11.74,4.28,87.63,0.0024813508,0.0064734
2014-Dec-03,05:15,m,-11.74,4.28,87.683,0.0024814472,0.025575
2014-Dec-03,05:30,t,-11.75,4.28,87.737,0.0024816585,0.0446677
2014-Dec-03,05:45,m,-11.75,4.28,87.79,0.0024819845,0.063673
2014-Dec-03,06:00,m,-11.75,4.27,87.843,0.0024824244,0.0825127
2014-Dec-03,06:15,m,-11.75,4.27,87.896,0.0024829769,0.1011095
2014-Dec-03,06:30,m,-11.75,4.27,87.949,0.0024836404,0.1193871
2014-Dec-03,06:45,m,-11.76,4.27,88.003,0.0024844127,0.1372707
2014-Dec-03,07:00,m,-11.76,4.27,88.057,0.0024852913,0.1546874
2014-Dec-03,07:15,m,-11.76,4.27,88.111,0.002486273,0.1715664
2014-Dec-03,07:30,m,-11.76,4.26,88.166,0.0024873545,0.187839
2014-Dec-03,07:45,m,-11.76,4.26,88.221,0.0024885319,0.2034398
2014-Dec-03,08:00,m,-11.76,4.26,88.277,0.002489801,0.218306
2014-Dec-03,08:15,m,-11.77,4.26,88.334,0.0024911572,0.2323782
2014-Dec-03,08:30,m,-11.77,4.26,88.391,0.0024925955,0.2456005
2014-Dec-03,08:45,m,-11.77,4.25,88.449,0.0024941107,0.2579208
2014-Dec-03,09:00,m,-11.77,4.25,88.509,0.0024956972,0.2692907
2014-Dec-03,09:15,m,-11.77,4.25,88.569,0.0024973491,0.2796664
2014-Dec-03,09:30,m,-11.77,4.25,88.629,0.0024990604,0.2890078
2014-Dec-03,09:45,m,-11.78,4.24,88.691,0.0025008246,0.2972797
2014-Dec-03,10:00,m,-11.78,4.24,88.754,0.0025026353,0.3044513
2014-Dec-03,10:15,m,-11.78,4.24,88.818,0.0025044858,0.3104962
2014-Dec-03,10:30,m,-11.78,4.24,88.884,0.0025063693,0.3153932
2014-Dec-03,10:45,m,-11.78,4.23,88.95,0.0025082786,0.3191253
2014-Dec-03,11:00,m,-11.78,4.23,89.017,0.0025102069,0.3216806
2014-Dec-03,11:15,m,-11.78,4.23,89.086,0.002512147,0.3230521
